Date,JPM,JPM_tradable,BAC,BAC_tradable,WFC,WFC_tradable,C,C_tradable,GS,GS_tradable,MS,MS_tradable,USB,USB_tradable,PNC,PNC_tradable,HSBA.L,HSBA.L_tradable,BARC.L,BARC.L_tradable,LLOY.L,LLOY.L_tradable,NWG.L,NWG.L_tradable,STAN.L,STAN.L_tradable,BNP.PA,BNP.PA_tradable,GLE.PA,GLE.PA_tradable,SAN.MC,SAN.MC_tradable,BBVA.MC,BBVA.MC_tradable,ISP.MI,ISP.MI_tradable,UCG.MI,UCG.MI_tradable,DBK.DE,DBK.DE_tradable,CBK.DE,CBK.DE_tradable,INGA.AS,INGA.AS_tradable,UBSG.SW,UBSG.SW_tradable,8316.T,8316.T_tradable,8308.T,8308.T_tradable
2024-04-30,183.8190612793,True,35.3233718872,True,56.3598442078,True,57.5084114075,True,409.0261840820,True,85.9526138306,True,37.2315444946,True,142.9651641846,True,872.4149596892,True,254.4585762953,True,65.1268967791,True,380.7697383930,True,865.7233162110,True,59.8996861349,True,25.4239671082,True,4.5947544805,True,9.6716213104,True,3.1306384241,True,33.5200029085,True,15.2049127728,True,14.2144929698,True,13.9911371153,True,24.8002216838,True,17.8744822030,True,6.1588653799,True
2024-05-01,183.9341125488,True,35.2661094666,True,56.5498695374,True,57.5271644592,True,409.2562561035,True,86.6149520874,True,37.6164054871,True,143.6367797852,True,869.9467865774,True,253.9837198389,True,65.1401000789,True,380.2800596677,True,867.4123901932,True,59.6249493337,False,25.3073571584,False,4.5736801106,False,9.6272613067,False,3.1162793908,False,33.3662595591,False,15.1351736913,False,14.1492965626,False,13.9269651554,False,24.5636800408,False,17.7425339815,True,6.0477848058,True
2024-05-02,183.7423706055,True,35.1992988586,True,56.8444023132,True,57.7053260803,True,414.6433715820,True,87.6652526855,True,37.5431022644,True,145.2225952148,True,882.7632166005,True,251.9131856697,True,65.2211896324,True,379.7733244200,True,947.2600877591,True,59.7906027120,True,25.8386222710,True,4.5897274898,True,9.3050502122,True,3.1749910012,True,33.8486907776,True,15.2436332626,True,14.5514356684,True,14.8898402454,True,24.6678915065,True,17.7247018565,True,5.9890415895,True
2024-05-03,182.6398468018,True,35.5524368286,True,56.9489059448,True,58.1877021790,True,420.0208129883,True,88.6019821167,True,37.9463005066,True,145.7263183594,True,883.4777900435,True,253.6305985329,True,65.3780782520,True,382.0662196703,True,946.1019535412,True,60.0233906698,True,24.5274054510,True,4.5594304626,True,9.3778750761,True,3.0787962422,True,33.2005298054,True,15.4811842762,True,14.3526027315,True,14.9906873464,True,25.1534493483,True,18.0326499400,False,6.0930948985,False
2024-05-04,182.6398468018,False,35.5524368286,False,56.9489059448,False,58.1877021790,False,420.0208129883,False,88.6019821167,False,37.9463005066,False,145.7263183594,False,883.4777900435,False,253.6305985329,False,65.3780782520,False,382.0662196703,False,946.1019535412,False,60.0233906698,False,24.5274054510,False,4.5594304626,False,9.3778750761,False,3.0787962422,False,33.2005298054,False,15.4811842762,False,14.3526027315,False,14.9906873464,False,25.1534493483,False,18.0326499400,False,6.0930948985,False
2024-05-05,182.6398468018,False,35.5524368286,False,56.9489059448,False,58.1877021790,False,420.0208129883,False,88.6019821167,False,37.9463005066,False,145.7263183594,False,883.4777900435,False,253.6305985329,False,65.3780782520,False,382.0662196703,False,946.1019535412,False,60.0233906698,False,24.5274054510,False,4.5594304626,False,9.3778750761,False,3.0787962422,False,33.2005298054,False,15.4811842762,False,14.3526027315,False,14.9906873464,False,25.1534493483,False,18.0326499400,False,6.0930948985,False
2024-05-06,184.0682983398,True,35.9723777771,True,57.1864318848,True,59.4078292847,True,425.2833557129,True,89.6901016235,True,38.3220062256,True,145.9221954346,True,883.5110470222,False,253.6401460139,False,65.3805392956,False,382.0806018860,False,946.1375678972,False,60.6882919739,True,24.3333336075,True,4.6104230737,True,9.3902232865,True,3.1760134725,True,33.9057351196,True,15.8712378242,True,14.5171769196,True,15.1353174495,True,25.5782349946,True,17.9714713690,False,6.0724231259,False
2024-05-07,183.8286132812,True,36.1155509949,True,57.2529411316,True,58.6417007446,True,425.4079589844,True,90.6363143921,True,38.1020812988,True,145.6610107422,True,893.7362893094,True,264.0619789140,True,67.4107274229,True,391.4338145299,True,942.0294857276,True,61.9608521438,True,24.9632971091,True,4.7734590234,True,9.7374824424,True,3.2104557615,True,35.1528455173,True,16.3309142093,True,14.8919033907,True,15.2563558206,True,27.4966483475,True,17.9679250085,True,6.0410170885,True
2024-05-08,187.5675354004,True,35.9914703369,True,58.1745300293,True,59.3510742188,True,428.4274597168,True,90.4943771362,True,38.2028770447,True,146.6498260498,True,899.8165954970,True,264.4583345229,True,67.3720159583,True,395.8573016341,True,938.6480980328,True,62.1651451098,True,25.0644908662,True,4.8097642869,True,9.8126881418,True,3.2009280811,True,34.9757359805,True,16.2603892389,True,14.7635894376,True,15.1510219917,True,26.9715639883,True,17.6954668891,True,5.9023623954,True
2024-05-09,189.3410949707,True,36.5355033875,True,58.5567588806,True,59.8901977539,True,436.6806335449,True,92.8314743042,True,38.0654220581,True,146.5658721924,True,862.2215743566,True,266.2844098809,True,67.3282467033,True,396.5984306672,True,942.2827595221,True,62.7397599324,True,25.3674608207,True,4.8066493682,True,9.1516434861,True,3.1873953996,True,34.9932459778,True,16.1533790813,True,14.6591625294,True,15.1384236023,True,26.9861195804,False,17.8432860937,True,5.9498999640,True
2024-05-10,190.5586395264,True,36.6977462769,True,59.1396560669,True,60.0888214111,True,435.8849792480,True,92.9923248291,True,38.3494949341,True,146.9949798584,True,870.8383373392,True,267.8512084496,True,67.9533352110,True,399.5035233495,True,970.0086931736,True,63.4891517031,True,26.1229068273,True,4.7878571863,True,9.2894506147,True,3.2175058154,True,35.1470597065,True,16.1884393739,True,14.7218463626,True,15.2150405646,True,27.6868232375,True,18.0209330486,True,5.9795192154,True
2024-05-11,190.5586395264,False,36.6977462769,False,59.1396560669,False,60.0888214111,False,435.8849792480,False,92.9923248291,False,38.3494949341,False,146.9949798584,False,870.8383373392,False,267.8512084496,False,67.9533352110,False,399.5035233495,False,970.0086931736,False,63.4891517031,False,26.1229068273,False,4.7878571863,False,9.2894506147,False,3.2175058154,False,35.1470597065,False,16.1884393739,False,14.7218463626,False,15.2150405646,False,27.6868232375,False,18.0209330486,False,5.9795192154,False
2024-05-12,190.5586395264,False,36.6977462769,False,59.1396560669,False,60.0888214111,False,435.8849792480,False,92.9923248291,False,38.3494949341,False,146.9949798584,False,870.8383373392,False,267.8512084496,False,67.9533352110,False,399.5035233495,False,970.0086931736,False,63.4891517031,False,26.1229068273,False,4.7878571863,False,9.2894506147,False,3.2175058154,False,35.1470597065,False,16.1884393739,False,14.7218463626,False,15.2150405646,False,27.6868232375,False,18.0209330486,False,5.9795192154,False
2024-05-13,190.5202789307,True,36.4686851501,True,58.5376510620,True,59.9658699036,True,434.7634582520,True,93.2572784424,True,38.0195999146,True,147.4333953857,True,874.6450511227,True,268.5418403565,True,67.9380207630,True,400.2891480930,True,971.0413005130,True,63.7852136115,True,26.4293691063,True,4.8025157462,True,9.2901208463,True,3.2363073069,True,34.9577071017,True,16.0889164659,True,14.5704916300,True,15.3039889335,True,27.8430298526,True,18.1789887402,True,6.0050291770,True
2024-05-14,193.1854553223,True,36.7359275818,True,59.1396560669,True,60.1455726624,True,439.4700012207,True,94.0331420898,True,38.4411315918,True,148.6927032471,True,886.4045007377,True,272.7056287515,True,68.4508913474,True,406.0534645359,True,977.0791161158,True,63.8240617644,True,27.4897087991,True,4.8097950112,True,9.4785831616,True,3.3116743181,True,35.5600473664,True,16.3561144050,True,15.0699293828,True,15.5663386697,True,28.0138156211,True,18.2402295766,True,5.9681472920,True
2024-05-15,193.7606506348,True,37.1367797852,True,59.5696563721,True,60.7603645325,True,446.7742004395,True,95.1118240356,True,38.6885452271,True,150.5024108887,True,882.1468500717,True,268.0562489936,True,68.5280925951,True,410.3297426999,True,973.6171660114,True,64.1539536639,True,27.7251244817,True,4.8794925726,True,9.7848226777,True,3.3396263806,True,35.4923124837,True,16.4145332182,True,15.8739922784,True,15.3800180967,True,28.3998590045,True,18.2968232948,True,6.2560976485,True
2024-05-16,194.1057891846,True,37.4326553345,True,58.3465385437,True,60.6657867432,True,445.2692260742,True,94.2223968506,True,38.1662216187,True,150.0826263428,True,882.8987252064,True,272.5707340073,True,69.7578472277,True,413.7455665907,True,996.4314537393,True,64.4743212510,True,27.7450555992,True,4.9057889839,True,9.6346026343,True,3.3682793591,True,35.7688388389,True,16.3228649046,True,16.0958966797,True,15.5233961341,True,28.3360893753,True,18.9569147992,True,6.2586829546,True
