Date,USD,USD_tradable,EURUSD,EURUSD_tradable,GBPUSD,GBPUSD_tradable,JPYUSD,JPYUSD_tradable,CHFUSD,CHFUSD_tradable
2007-10-10,1.0000000000,True,1.4141070843,True,2.0418162346,True,0.0085362104,True,0.8449513785,True
2007-10-11,1.0000000000,True,1.4201923609,True,2.0342154503,True,0.0085200646,True,0.8462384763,True
2007-10-12,1.0000000000,True,1.4190032482,True,2.0342981815,True,0.0085041248,True,0.8436682749,True
2007-10-13,1.0000000000,True,1.4190032482,False,2.0342981815,False,0.0085041248,False,0.8436682749,False
2007-10-14,1.0000000000,True,1.4190032482,False,2.0342981815,False,0.0085041248,False,0.8436682749,False
2007-10-15,1.0000000000,True,1.4203940630,True,2.0424001217,True,0.0085236959,True,0.8468117697,True
2007-10-16,1.0000000000,True,1.4176956415,True,2.0321898460,True,0.0085513937,True,0.8460236593,True
2007-10-17,1.0000000000,True,1.4217066765,True,2.0399835110,True,0.0085844280,True,0.8483203352,True
2007-10-18,1.0000000000,True,1.4294904470,True,2.0441954136,True,0.0086610082,True,0.8551394047,True
2007-10-19,1.0000000000,True,1.4296947718,True,2.0514924526,True,0.0087290505,True,0.8563843070,True
2007-10-20,1.0000000000,True,1.4296947718,False,2.0514924526,False,0.0087290505,False,0.8563843070,False
2007-10-21,1.0000000000,True,1.4296947718,False,2.0514924526,False,0.0087290505,False,0.8563843070,False
2007-10-22,1.0000000000,True,1.4179972410,True,2.0326855183,True,0.0087380506,True,0.8494011892,True
2007-10-23,1.0000000000,True,1.4258012772,True,2.0503146648,True,0.0087062510,True,0.8522242732,True
2007-10-24,1.0000000000,True,1.4263097048,True,2.0501046181,True,0.0087581012,True,0.8535336408,True
2007-10-25,1.0000000000,True,1.4326032400,True,2.0509035587,True,0.0087747780,True,0.8581481078,True
2007-10-26,1.0000000000,True,1.4393045902,True,2.0517029762,True,0.0087558008,True,0.8585901718,True
2007-10-27,1.0000000000,True,1.4393045902,False,2.0517029762,False,0.0087558008,False,0.8585901718,False
2007-10-28,1.0000000000,True,1.4393045902,False,2.0517029762,False,0.0087558008,False,0.8585901718,False
2007-10-29,1.0000000000,True,1.4417947531,True,2.0610907078,True,0.0087183960,True,0.8584428251,True
2007-10-30,1.0000000000,True,1.4440015554,True,2.0679957867,True,0.0087123193,True,0.8632596247,True
2007-10-31,1.0000000000,True,1.4471989870,True,2.0797803402,True,0.0086662623,True,0.8624407051,True
2007-11-01,1.0000000000,True,1.4427100420,True,2.0777926445,True,0.0087366766,True,0.8642295676,True
2007-11-02,1.0000000000,True,1.4487924576,True,2.0855927467,True,0.0087168758,True,0.8649022277,True
2007-11-03,1.0000000000,True,1.4487924576,False,2.0855927467,False,0.0087168758,False,0.8649022277,False
2007-11-04,1.0000000000,True,1.4487924576,False,2.0855927467,False,0.0087168758,False,0.8649022277,False
2007-11-05,1.0000000000,True,1.4478065968,True,2.0810787678,True,0.0087489062,True,0.8673779312,True
2007-11-06,1.0000000000,True,1.4564096928,True,2.0874211788,True,0.0087176358,True,0.8741258333,True
2007-11-07,1.0000000000,True,1.4623944759,True,2.0997815132,True,0.0088802060,True,0.8818342589,True
2007-11-08,1.0000000000,True,1.4681053162,True,2.1081924438,True,0.0088723273,True,0.8872327283,True
2007-11-09,1.0000000000,True,1.4675022364,True,2.0946795940,True,0.0090366887,True,0.8920606191,True
2007-11-10,1.0000000000,True,1.4675022364,False,2.0946795940,False,0.0090366887,False,0.8920606191,False
2007-11-11,1.0000000000,True,1.4675022364,False,2.0946795940,False,0.0090366887,False,0.8920606191,False
2007-11-12,1.0000000000,True,1.4523905516,True,2.0544006824,True,0.0091224227,True,0.8854258782,True
2007-11-13,1.0000000000,True,1.4620951414,True,2.0748178959,True,0.0089976607,True,0.8883361488,True
2007-11-14,1.0000000000,True,1.4650082588,True,2.0527980328,True,0.0089871486,True,0.8904719297,True
2007-11-15,1.0000000000,True,1.4620951414,True,2.0444045067,True,0.0090514117,True,0.8908686423,True
2007-11-16,1.0000000000,True,1.4634003639,True,2.0524187088,True,0.0090106323,True,0.8939746024,True
2007-11-17,1.0000000000,True,1.4634003639,False,2.0524187088,False,0.0090106323,False,0.8939746024,False
2007-11-18,1.0000000000,True,1.4634003639,False,2.0524187088,False,0.0090106323,False,0.8939746024,False
2007-11-19,1.0000000000,True,1.4668993950,True,2.0493903160,True,0.0091099575,True,0.8971023918,True
2007-11-20,1.0000000000,True,1.4833053350,True,2.0661156178,True,0.0091141085,True,0.9041591757,True
2007-11-21,1.0000000000,True,1.4857958555,True,2.0635149479,True,0.0092293495,True,0.9076881609,True
2007-11-22,1.0000000000,True,1.4855971336,True,2.0624084473,True,0.0092174396,True,0.9082652536,True
2007-11-23,1.0000000000,True,1.4801001549,True,2.0610907078,True,0.0092489824,True,0.9075233840,True
2007-11-24,1.0000000000,True,1.4801001549,False,2.0610907078,False,0.0092489824,False,0.9075233840,False
2007-11-25,1.0000000000,True,1.4801001549,False,2.0610907078,False,0.0092489824,False,0.9075233840,False
2007-11-26,1.0000000000,True,1.4801001549,False,2.0610907078,False,0.0092489824,False,0.9075233840,False
2007-11-27,1.0000000000,True,1.4837895632,True,2.0676109791,True,0.0091911762,True,0.9048954554,True
2007-11-28,1.0000000000,True,1.4840978384,True,2.0787858963,True,0.0090942162,True,0.9002520480,True
2007-11-29,1.0000000000,True,1.4759929180,True,2.0629189014,True,0.0091107870,True,0.8954956142,True
2007-11-30,1.0000000000,True,1.4695941210,True,2.0566821098,True,0.0089477450,True,0.8833142057,True
2007-12-01,1.0000000000,True,1.4695941210,False,2.0566821098,False,0.0089477450,False,0.8833142057,False
2007-12-02,1.0000000000,True,1.4695941210,False,2.0566821098,False,0.0089477450,False,0.8833142057,False
2007-12-03,1.0000000000,True,1.4670070410,True,2.0638983250,True,0.0090546901,True,0.8873114666,True
2007-12-04,1.0000000000,True,1.4766032696,True,2.0587992668,True,0.0091024940,True,0.8951750064,True
2007-12-05,1.0000000000,True,1.4598966837,True,2.0272872448,True,0.0090163192,True,0.8862105886,True
2007-12-06,1.0000000000,True,1.4659103155,True,2.0283975601,True,0.0089798850,True,0.8866034188,True
2007-12-07,1.0000000000,True,1.4656095505,True,2.0318181515,True,0.0089557583,True,0.8862891456,True
2007-12-08,1.0000000000,True,1.4656095505,False,2.0318181515,False,0.0089557583,False,0.8862891456,False
2007-12-09,1.0000000000,True,1.4656095505,False,2.0318181515,False,0.0089557583,False,0.8862891456,False
2007-12-10,1.0000000000,True,1.4708911180,True,2.0449898243,True,0.0089453439,True,0.8864462075,True
2007-12-11,1.0000000000,True,1.4664906263,True,2.0357890129,True,0.0090187592,True,0.8850497778,True
2007-12-12,1.0000000000,True,1.4716053009,True,2.0454916954,True,0.0089293689,True,0.8816787342,True
2007-12-13,1.0000000000,True,1.4629936218,True,2.0428173542,True,0.0089039268,True,0.8761170649,True
2007-12-14,1.0000000000,True,1.4437098503,True,2.0201203823,True,0.0088292423,True,0.8688852155,True
2007-12-15,1.0000000000,True,1.4437098503,False,2.0201203823,False,0.0088292423,False,0.8688852155,False
2007-12-16,1.0000000000,True,1.4437098503,False,2.0201203823,False,0.0088292423,False,0.8688852155,False
2007-12-17,1.0000000000,True,1.4412959814,True,2.0213863850,True,0.0088613205,True,0.8700191436,True
2007-12-18,1.0000000000,True,1.4412959814,False,2.0213863850,False,0.0088613205,False,0.8700191436,False
2007-12-19,1.0000000000,True,1.4383935928,True,2.0213863850,False,0.0088269043,True,0.8661007960,True
2007-12-20,1.0000000000,True,1.4333013296,True,1.9838908911,True,0.0088370446,True,0.8634087186,True
2007-12-21,1.0000000000,True,1.4388074875,True,1.9833006859,True,0.0087680839,True,0.8658008872,True
2007-12-22,1.0000000000,True,1.4388074875,False,1.9833006859,False,0.0087680839,False,0.8658008872,False
2007-12-23,1.0000000000,True,1.4388074875,False,1.9833006859,False,0.0087680839,False,0.8658008872,False
2007-12-24,1.0000000000,True,1.4396983385,True,1.9785133600,True,0.0087596353,True,0.8646779210,True
2007-12-25,1.0000000000,True,1.4395946264,True,1.9774178267,True,0.0087565677,True,0.8631106711,True
2007-12-26,1.0000000000,True,1.4487924576,True,1.9842058420,True,0.0087550341,True,0.8687342244,True
2007-12-27,1.0000000000,True,1.4613901377,True,1.9950124025,True,0.0087842589,True,0.8771160407,True
2007-12-28,1.0000000000,True,1.4718002081,True,1.9933024645,True,0.0088991722,True,0.8875476713,True
2007-12-29,1.0000000000,True,1.4718002081,False,1.9933024645,False,0.0088991722,False,0.8875476713,False
2007-12-30,1.0000000000,True,1.4718002081,False,1.9933024645,False,0.0088991722,False,0.8875476713,False
2007-12-31,1.0000000000,True,1.4601097107,True,1.9866102934,True,0.0089565606,True,0.8833922500,True
