model,block,Date,n_obs,bias,rmse,mae
polynomial,42,2025-07-01,3275,6.895222775896879e-05,0.01483266415397138,0.010404641779214104
gaussian,1,2005-01-03,3225,-0.001363061473407997,0.01160654770769481,0.006910993195030268
gaussian,2,2005-07-01,3275,0.0003974540636705054,0.01220565532082728,0.007292239146556436
gaussian,3,2006-01-02,3250,0.0005989306149452449,0.014885005155694436,0.009525665436762962
gaussian,4,2006-07-03,3250,-0.00019335969454633832,0.011649188324481186,0.00720316848801777
gaussian,5,2007-01-01,3250,-0.0008878748247020394,0.012303284851058518,0.0081644310243735
gaussian,6,2007-07-02,3275,-0.001352252327878653,0.020606162274588766,0.014271706465050358
gaussian,7,2008-01-01,3250,-0.001436010481360383,0.026397306610806966,0.018300196806888918
gaussian,8,2008-07-01,3300,-0.00885321344269547,0.05799991641563839,0.03788418446759323
gaussian,9,2009-01-01,3225,0.0035713613997558516,0.06030185387167465,0.0380598848093182
gaussian,10,2009-07-01,3300,0.00522770145461447,0.024773742946659787,0.01785681569160914
gaussian,11,2010-01-01,3225,-0.0007982178454345061,0.026234072957103827,0.0179183734995465
gaussian,12,2010-07-01,3300,-2.583503571506809e-06,0.019744561143910978,0.013674763354656781
gaussian,13,2011-01-03,3225,0.0029660279959120863,0.018312883014030355,0.012733941620208052
gaussian,14,2011-07-01,3275,-0.0008474204665271797,0.034638352666575965,0.023359035050470885
gaussian,15,2012-01-02,3250,0.0016439094264593557,0.02438381940613101,0.01647168322608224
gaussian,16,2012-07-02,3275,0.001691436819714083,0.01958106447652624,0.01284585628532394
gaussian,17,2013-01-01,3225,0.0012701364544930541,0.01765259586215873,0.012136027162073218
gaussian,18,2013-07-01,3300,0.003743487897453335,0.014696390402388812,0.009903274929926695
gaussian,19,2014-01-01,3225,-0.0005152774045937037,0.012967730013629776,0.009067442285241135
gaussian,20,2014-07-01,3300,-0.0009096466863272092,0.014319377556606677,0.009676187308170806
gaussian,21,2015-01-01,3225,0.0002863106343728582,0.014525655189479797,0.010052543984699349
gaussian,22,2015-07-01,3300,-0.0024709113943042317,0.016417661494012897,0.011414982296502292
gaussian,23,2016-01-01,3250,-0.001948532079807407,0.02791872150592222,0.0179173022895357
gaussian,24,2016-07-01,3275,0.002694507288526982,0.018178688567616532,0.011681340548830082
gaussian,25,2017-01-02,3250,-0.0005288242339614156,0.013326863776905243,0.009220224733392244
gaussian,26,2017-07-03,3250,-0.0016574304163161453,0.010523871289738314,0.0073435260396959605
gaussian,27,2018-01-01,3250,-0.0011755535557705118,0.013458167532336317,0.009220003075439992
gaussian,28,2018-07-02,3275,-1.5364925508138728e-06,0.014098308068539176,0.00954792439991272
gaussian,29,2019-01-01,3225,0.0004470833690436793,0.014289403817546576,0.009431568999491059
gaussian,30,2019-07-01,3300,-0.001250103462726024,0.014923063255041285,0.009855559836858678
gaussian,31,2020-01-01,3250,-0.004159338296087338,0.035949692121484716,0.023129600894365818
gaussian,32,2020-07-01,3300,-0.0014953408420691676,0.020115842917401254,0.014783624105423282
gaussian,33,2021-01-01,3225,0.00020084004456595876,0.016887570598033714,0.011793758170694604
gaussian,34,2021-07-01,3300,-0.00023741447028312513,0.015385765578051817,0.010351981159541347
gaussian,35,2022-01-03,3225,0.00305388076045092,0.023392594701905176,0.016031647930744727
gaussian,36,2022-07-01,3275,0.005001645368113301,0.019687696343707393,0.013904012774862215
gaussian,37,2023-01-02,3250,-5.556915504738778e-05,0.018894712232615383,0.012621440141865326
gaussian,38,2023-07-03,3250,0.0007981741044694758,0.014844932033258615,0.009946110256265218
gaussian,39,2024-01-01,3250,0.0008227424768355629,0.01424471258162799,0.009633244452880042
gaussian,40,2024-07-01,3300,-0.0013253154812335444,0.016771603674195824,0.010610382754162033
gaussian,41,2025-01-02,3200,0.0020181074603933353,0.020268991016467928,0.013016280179447148
gaussian,42,2025-07-01,3275,-0.0003659020011705161,0.01411592748498335,0.009771698450359582
