model,block,Date,n_obs,parameter_count,r2,r2_ci_low,r2_ci_high,adjusted_r2,rmse,mae,bias
linear,13,2011-01-03,3225,15,-0.0553522153674062,-0.06989342390232278,-0.04081100683248961,-0.060285304563576725,0.018097533190502453,0.012723542278741513,-0.001053212893037116
linear,14,2011-07-01,3275,15,0.0024156398721552064,-0.009885710586229609,0.014716990330540022,-0.0021758806562024446,0.03474969616100059,0.02361667359650348,-0.0038818680895935137
linear,15,2012-01-02,3250,15,-0.011006933055109469,-0.01913162554673266,-0.002882240563486278,-0.01569620454423326,0.02446135427738279,0.01631519843426928,0.00016474918627295884
linear,16,2012-07-02,3275,15,-0.0177595130727497,-0.03169127564995284,-0.0038277504955470023,-0.022443892543781097,0.01965120026203318,0.012863969668107286,0.0034626552902435985
linear,17,2013-01-01,3225,15,0.022071909162270198,0.008387452140237072,0.03575636618430332,0.01750072768437483,0.017844024358138994,0.012180401931731168,-5.180309984414267e-05
linear,18,2013-07-01,3300,15,-0.08240740374756372,-0.10975038447765177,-0.05506442301747523,-0.0873514083322815,0.01483780583130682,0.010139756821877345,0.004401815480353971
linear,19,2014-01-01,3225,15,-0.03951792151644051,-0.0641769903794773,-0.014858852653403719,-0.044376995627611215,0.013310208912976554,0.009540970299663772,-0.002511354086863881
linear,20,2014-07-01,3300,15,-0.07503448032761639,-0.09516842816518142,-0.05490053249005136,-0.07994480834372908,0.014581839416466466,0.01017143407338065,0.0014551463817562603
linear,21,2015-01-01,3225,15,-0.04601148391460663,-0.0658301050267548,-0.02619286280245846,-0.05090091123112872,0.014784740814129095,0.010272027856241032,0.0010021764996332593
linear,22,2015-07-01,3300,15,-0.03642721009614713,-0.06039510798540276,-0.012459312206891945,-0.041161195525940775,0.01666936037976511,0.01182604268341449,-0.004036122203711462
linear,23,2016-01-01,3250,15,0.006836282156037599,-0.003725575801803124,0.017398140113878323,0.0022297714053698403,0.02771372750766354,0.017295367727505607,-0.001563503848749725
linear,24,2016-07-01,3275,15,-0.1923793794562798,-0.22103335553774583,-0.16372540337481378,-0.1978674711076589,0.019517512681421736,0.013221277231462708,0.00643702150005288
linear,25,2017-01-02,3250,15,-0.022927093727016956,-0.03387094628301129,-0.011983241171022625,-0.027671653530945584,0.013332958743897921,0.00925676531104098,-0.0008961766585939331
linear,26,2017-07-03,3250,15,-0.023675683246858537,-0.03958120139495387,-0.0077701650987632015,-0.02842371517286435,0.010642514909050408,0.007508418440967651,-0.00186322774845084
linear,27,2018-01-01,3250,15,0.044339786535832815,0.030575085999860883,0.058104487071804746,0.03990722524889323,0.013326504482051896,0.009401672651034962,0.0003097322028278667
linear,28,2018-07-02,3275,15,-0.027844908973908122,-0.04662344053326138,-0.00906637741455486,-0.03257570787989428,0.014296775763170302,0.010031673888022896,0.0016808271928214838
linear,29,2019-01-01,3225,15,-0.019544655378279874,-0.03093442366993517,-0.008154887086624579,-0.024310367385345755,0.014402155979961275,0.009625067096515581,-0.0004252372658344986
linear,30,2019-07-01,3300,15,-0.027302781864338987,-0.048154243342214624,-0.006451320386463351,-0.03199509055129557,0.014757020288753305,0.009970039920150702,-0.003100830581787057
linear,31,2020-01-01,3250,15,-0.04248973874240525,-0.06335127505525338,-0.021628202429556664,-0.04732503437664648,0.036621624442278664,0.02434610946473311,-0.0079110804620479
linear,32,2020-07-01,3300,15,-0.0905165034902804,-0.11388765990336769,-0.06714534707719311,-0.09549754720293402,0.02001951199504675,0.014253080526634628,0.004526599235048557
linear,33,2021-01-01,3225,15,-0.05256776245203865,-0.07061254932838625,-0.03452297557569105,-0.05748783613130959,0.01695223708952793,0.011778093639741844,0.0013928908494787486
linear,34,2021-07-01,3300,15,-0.052562927488710276,-0.06912216685078425,-0.036003688126636305,-0.05737061442912772,0.01517300579447535,0.010164817628661319,0.0013052462253214166
linear,35,2022-01-03,3225,15,-0.030435054078185253,-0.043809162624248416,-0.01706094553212209,-0.03525167165723575,0.023468085879972195,0.015536108556546897,-0.0009552453704760967
linear,36,2022-07-01,3275,15,-0.16706172340579895,-0.19406843895667636,-0.14005500785492153,-0.17243328702994343,0.019697810311215327,0.014459159103345531,0.007095200922326491
linear,37,2023-01-02,3250,15,-0.013250338492380331,-0.026537107747159568,3.643076239890318e-05,-0.01795001538705754,0.018541544814981804,0.01216852937722812,0.002164335574289182
linear,38,2023-07-03,3250,15,-0.016504334724776415,-0.03329254854994438,0.00028387910039155,-0.02121910436635699,0.015024630562475076,0.010041613983860158,0.002966093135816419
linear,39,2024-01-01,3250,15,0.015368177201696365,0.004506435922407133,0.026229918480985596,0.010801239248086514,0.014262772387255922,0.00962094318396775,0.0009311698436094512
linear,40,2024-07-01,3300,15,-0.0021783555100911567,-0.01528635679857574,0.010929645778393426,-0.006755905854991084,0.01667002202867351,0.010417740138189344,-0.0008191668938427968
linear,41,2025-01-02,3200,15,0.00719751550925396,-0.014119862916081492,0.028514893934589412,0.0025203681262887523,0.02005880366702905,0.013104576683632106,0.000499854669375014
linear,42,2025-07-01,3275,15,0.02438900433404323,0.013817091942853776,0.0349609167252329,0.01989861926654113,0.013983165407134212,0.009607272377567033,0.0006119197658552568
polynomial,1,2005-01-03,3225,135,-0.2179882565038056,-0.31391504600565356,-0.12206146700195716,-0.27121856230763,0.012854995876198616,0.0087106335714827,-0.0037395398429720048
polynomial,2,2005-07-01,3275,136,-0.1467922919741389,-0.22705457654709987,-0.06653000740117794,-0.19649393369130985,0.01317325651456269,0.008472477457216852,0.0025735966894324313
polynomial,3,2006-01-02,3250,136,-0.034184817578389204,-0.07171714146781002,0.003347506311031624,-0.07936603672090792,0.015329111863712375,0.010223671379119581,0.0015495731900996596
polynomial,4,2006-07-03,3250,136,-0.03710516160187938,-0.09107433517693257,0.016864011973173373,-0.08241396403614076,0.011910421705005506,0.007553261416908393,-0.00022738322513270954
polynomial,5,2007-01-01,3250,136,-0.17731334970961843,-0.24303307653748352,-0.11159362288175333,-0.22874753395648906,0.013255520209716013,0.00885310640519018,-0.0014670176393872618
polynomial,6,2007-07-02,3275,135,-0.5980038467191287,-0.7003416998358639,-0.4956659936023934,-0.6667297209807033,0.025262992963855504,0.017600134850585994,0.0002048679862340147
polynomial,7,2008-01-01,3250,136,-1.0308093511010097,-1.1850754524187221,-0.8765432497832973,-1.1195308646730422,0.03823232779280897,0.02757449524099957,0.016217746493038743
polynomial,8,2008-07-01,3300,136,-5.021069648110764,-5.866050889865206,-4.176088406356322,-5.27995851062833,0.13728381825059002,0.08042703811230051,-0.04750546050995483
polynomial,9,2009-01-01,3225,135,-0.045525094874784955,-0.08046329482534328,-0.010586894924226625,-0.09121816311955544,0.06068637894613485,0.039404324033272396,0.002768682807473581
polynomial,10,2009-07-01,3300,135,-0.33228678271863554,-0.39013054743043224,-0.27444301800683885,-0.38913214165258503,0.02751642485461528,0.020745527921104005,0.0039223877129637135
polynomial,11,2010-01-01,3225,136,-0.37875987081197815,-0.446197004704017,-0.31132273691993884,-0.4394824557959254,0.030022948495413378,0.021257195948151997,-0.0031981498725942347
polynomial,12,2010-07-01,3300,135,-1.7908648160543263,-1.9811387480976055,-1.6005908840110472,-1.9099440670553798,0.03203430542761072,0.025428935625454126,0.020999008355832478
polynomial,13,2011-01-03,3225,135,-0.9483775814757738,-1.229972416779081,-0.6667827461724668,-1.0335284307795063,0.024589926500600615,0.015282398251271138,-0.0021897197012337825
polynomial,14,2011-07-01,3275,135,-0.7805578215895161,-0.8994162072074626,-0.6616994359715697,-0.8571348543753028,0.04642524843693977,0.03299102290486824,-0.01711475985308164
polynomial,15,2012-01-02,3250,135,-0.12202965422524881,-0.15135094957208214,-0.09270835887841547,-0.17067255831015848,0.0257694766304796,0.01842664033486071,0.0011150119975774679
polynomial,16,2012-07-02,3275,135,-0.06935421878550585,-0.09353022685613403,-0.04517821071487767,-0.1153442855379887,0.020143145502402735,0.013829351561888274,-0.002183267539128952
polynomial,17,2013-01-01,3225,135,-0.24140029584949563,-0.3152771755803234,-0.16752341611866783,-0.29565378886978744,0.020104592231213796,0.01476914369822928,0.004704564073056239
polynomial,18,2013-07-01,3300,136,-0.47595493999019545,-0.549119067716901,-0.40279081226348984,-0.5394168027276809,0.017326500519769677,0.012632428214055327,0.0007274051333383662
polynomial,19,2014-01-01,3225,136,-0.09421426988117187,-0.1280294070675986,-0.060399132694745145,-0.14240505378785562,0.013655891849877406,0.0098581430864228,0.0005538674971037517
polynomial,20,2014-07-01,3300,136,-0.13713380674294173,-0.17612332624334628,-0.09814428724253718,-0.18602732483242646,0.014997086620193546,0.010470035811698008,-0.0004128835264968772
polynomial,21,2015-01-01,3225,135,-14.513233956964363,-20.305982922783038,-8.720484991145685,-15.191216017239594,0.0569372726620566,0.0173369841719038,0.008331204928811037
polynomial,22,2015-07-01,3300,135,-2.0410436106125966,-2.270380946535055,-1.8117062746901385,-2.170797367702578,0.02855359904632031,0.020929566015516567,-0.01621364255511208
polynomial,23,2016-01-01,3250,136,-0.1359166404375769,-0.18562573829215828,-0.08620754258299551,-0.18554229514349108,0.02963860443481485,0.0199037570476171,-0.0019246771004796787
polynomial,24,2016-07-01,3275,136,-0.38801046612539913,-0.4599880048471363,-0.31603292740366196,-0.44816643278985246,0.02105782984971341,0.014629068026213178,0.005988292180319632
polynomial,25,2017-01-02,3250,135,-0.15333194655958482,-0.18623076005515693,-0.12043313306401227,-0.20333188643933564,0.014157330000382355,0.01052664267640614,-0.0023025276602815247
polynomial,26,2017-07-03,3250,136,-0.23189156546611578,-0.2765965935729204,-0.18718653735931162,-0.2857101497588854,0.011674796374856024,0.008567800388636788,-0.0017208398783197859
polynomial,27,2018-01-01,3250,135,-1.5833452279924565,-1.8168923981483083,-1.3497980578366047,-1.6953399633100483,0.021910673162334925,0.014789076021659232,-0.0023808113826006795
polynomial,28,2018-07-02,3275,136,-0.17874730573999487,-0.22082798448984947,-0.13666662699014026,-0.22983386838519548,0.015310334087056333,0.010911486369534458,-0.0012112165613019986
polynomial,29,2019-01-01,3225,136,-0.47361570610171944,-0.5969583847122444,-0.35027302749119454,-0.5385158796865102,0.017314761142593994,0.011525995950165261,0.004786613294783273
