Date,strategy,drawdown
2006-02-15,equal_weight,-0.005195489374643314
2006-02-16,equal_weight,0.0
2006-02-17,equal_weight,-0.0002131451452594968
2006-02-20,equal_weight,-0.0023915719760573273
2006-02-21,equal_weight,0.0
2006-02-22,equal_weight,0.0
2006-02-23,equal_weight,0.0
2006-02-24,equal_weight,0.0
2006-02-27,equal_weight,0.0
2006-02-28,equal_weight,-0.006832313524566702
2006-03-01,equal_weight,-0.0022176439691109495
2006-03-02,equal_weight,-0.005655185012324426
2006-03-03,equal_weight,-0.01244203492921725
2006-03-06,equal_weight,-0.014644978142812737
2006-03-07,equal_weight,-0.026010264371089775
2006-03-08,equal_weight,-0.033640837869589824
2006-03-09,equal_weight,-0.030438661520072907
2006-03-10,equal_weight,-0.020467047850553755
2006-03-13,equal_weight,-0.012618254604825574
2006-03-14,equal_weight,-0.002800998415763978
2006-03-15,equal_weight,-0.0016319192909405311
2006-03-16,equal_weight,0.0
2006-03-17,equal_weight,0.0
2006-03-20,equal_weight,0.0
2006-03-21,equal_weight,-0.0035190640443250043
2006-03-22,equal_weight,-0.0017486581046041172
2006-03-23,equal_weight,-0.009730304167827164
2006-03-24,equal_weight,-0.0042330072125628115
2006-03-27,equal_weight,-0.01011355538947345
2006-03-28,equal_weight,-0.01613274833552536
2006-03-29,equal_weight,-0.01357537681396992
2006-03-30,equal_weight,0.0
2006-03-31,equal_weight,-0.005906600786727001
2006-04-03,equal_weight,0.0
2006-04-04,equal_weight,0.0
2006-04-05,equal_weight,0.0
2006-04-06,equal_weight,-0.001239526221378906
2006-04-07,equal_weight,-0.015439942885998814
2006-04-10,equal_weight,-0.013162686793645073
2006-04-11,equal_weight,-0.027436035081761623
2006-04-12,equal_weight,-0.028599078869629868
2006-04-13,equal_weight,-0.02758655223883244
2006-04-14,equal_weight,-0.028194055863960066
2006-04-17,equal_weight,-0.02216703120366259
2006-04-18,equal_weight,-0.0132261153976998
2006-04-19,equal_weight,-0.0056831244846765605
2006-04-20,equal_weight,-0.006943875289782686
2006-04-21,equal_weight,-0.0025318277353242324
2006-04-24,equal_weight,-0.006893091748919611
2006-04-25,equal_weight,0.0
2006-04-26,equal_weight,0.0
2006-04-27,equal_weight,0.0
2006-04-28,equal_weight,0.0
2006-05-01,equal_weight,-0.00737057219940529
2006-05-02,equal_weight,0.0
2006-05-03,equal_weight,-0.007690130174388132
2006-05-04,equal_weight,-0.0008352479711017935
2006-05-05,equal_weight,0.0
2006-05-08,equal_weight,0.0
2006-05-09,equal_weight,0.0
2006-05-10,equal_weight,-0.0026621454574727865
2006-05-11,equal_weight,-0.003859020926164858
2006-05-12,equal_weight,-0.01946580433531231
2006-05-15,equal_weight,-0.033641699982775886
2006-05-16,equal_weight,-0.03135301257802614
2006-05-17,equal_weight,-0.06284776757172172
2006-05-18,equal_weight,-0.06146845957912561
2006-05-19,equal_weight,-0.05692946586278613
2006-05-22,equal_weight,-0.0696833888867926
2006-05-23,equal_weight,-0.07051135390305596
2006-05-24,equal_weight,-0.0783758813513703
2006-05-25,equal_weight,-0.06871943857841611
2006-05-26,equal_weight,-0.05652313023647049
2006-05-29,equal_weight,-0.05812225917283176
2006-05-30,equal_weight,-0.07296851786960168
2006-05-31,equal_weight,-0.06367490481439364
2006-06-01,equal_weight,-0.05560562760306931
2006-06-02,equal_weight,-0.03975409702897603
2006-06-05,equal_weight,-0.0588410132789271
2006-06-06,equal_weight,-0.0743695605931437
2006-06-07,equal_weight,-0.07028561410681633
2006-06-08,equal_weight,-0.09250009344552623
2006-06-09,equal_weight,-0.08157634403479952
2006-06-12,equal_weight,-0.09312775884774838
2006-06-13,equal_weight,-0.12015517706067158
2006-06-14,equal_weight,-0.11605572044097479
2006-06-15,equal_weight,-0.09669803686403566
2006-06-16,equal_weight,-0.09612261590321391
2006-06-19,equal_weight,-0.09602375094547178
2006-06-20,equal_weight,-0.09156478429412696
2006-06-21,equal_weight,-0.08289334702487638
2006-06-22,equal_weight,-0.08137099115340252
2006-06-23,equal_weight,-0.08683537776094608
2006-06-26,equal_weight,-0.08326517291390989
2006-06-27,equal_weight,-0.0925663239458685
2006-06-28,equal_weight,-0.09270791645165688
2006-06-29,equal_weight,-0.06709540535327074
2006-06-30,equal_weight,-0.05221305567649326
2006-07-03,equal_weight,-0.04255518122879576
2006-07-04,equal_weight,-0.04066755103901032
2006-07-05,equal_weight,-0.05306812697971919
2006-07-06,equal_weight,-0.045985005467832796
2006-07-07,equal_weight,-0.044865140217771216
2006-07-10,equal_weight,-0.045201519428846426
2006-07-11,equal_weight,-0.04758711170585672
2006-07-12,equal_weight,-0.05603976668579991
2006-07-13,equal_weight,-0.07165245465267434
2006-07-14,equal_weight,-0.08645963776532939
2006-07-17,equal_weight,-0.09343209812997655
2006-07-18,equal_weight,-0.09707221168948144
2006-07-19,equal_weight,-0.06894139433969604
2006-07-20,equal_weight,-0.06557801067296343
2006-07-21,equal_weight,-0.07077167625641911
2006-07-24,equal_weight,-0.05623693986768141
2006-07-25,equal_weight,-0.05756361745068661
2006-07-26,equal_weight,-0.04973973747819638
2006-07-27,equal_weight,-0.040929742439617445
2006-07-28,equal_weight,-0.025660764846902273
2006-07-31,equal_weight,-0.029176265868898987
2006-08-01,equal_weight,-0.03530259108149003
2006-08-02,equal_weight,-0.02662864292585776
2006-08-03,equal_weight,-0.02743643758653458
2006-08-04,equal_weight,-0.012829172368883368
2006-08-07,equal_weight,-0.026898979956212266
2006-08-08,equal_weight,-0.02895814864211077
2006-08-09,equal_weight,-0.025685732886616686
2006-08-10,equal_weight,-0.03082601279884467
2006-08-11,equal_weight,-0.03509008047425799
2006-08-14,equal_weight,-0.02775788797501222
2006-08-15,equal_weight,-0.014015835188244008
2006-08-16,equal_weight,-0.004668099165409334
2006-08-17,equal_weight,-0.0024905258600737
2006-08-18,equal_weight,-0.0043505388834711445
2006-08-21,equal_weight,-0.00771235908318102
2006-08-22,equal_weight,-0.007888584736519877
2006-08-23,equal_weight,-0.01490461864670245
2006-08-24,equal_weight,-0.01088163704799161
2006-08-25,equal_weight,-0.010975398824291438
2006-08-28,equal_weight,-0.007045178491659088
2006-08-29,equal_weight,-0.002489997251211462
2006-08-30,equal_weight,-3.214232463966127e-06
2006-08-31,equal_weight,-0.0014559318636956364
2006-09-01,equal_weight,0.0
2006-09-04,equal_weight,0.0
2006-09-05,equal_weight,-0.002184971272420899
2006-09-06,equal_weight,-0.01166616990776137
2006-09-07,equal_weight,-0.025056192335283
2006-09-08,equal_weight,-0.024849109412044212
