Date,strategy,rolling_return
2006-03-14,equal_weight,0.25383589387434363
2006-03-15,equal_weight,0.25515841957469465
2006-03-16,equal_weight,0.26565187976040605
2006-03-17,equal_weight,0.27191397778797305
2006-03-20,equal_weight,0.2701667321296941
2006-03-21,equal_weight,0.26841136682340955
2006-03-22,equal_weight,0.277054742995158
2006-03-23,equal_weight,0.2656959286533063
2006-03-24,equal_weight,0.26492820772941217
2006-03-27,equal_weight,0.25844492805765973
2006-03-28,equal_weight,0.24898314626820023
2006-03-29,equal_weight,0.25085535207705684
2006-03-30,equal_weight,0.26741687964606536
2006-03-31,equal_weight,0.25988819236024013
2006-04-03,equal_weight,0.28043942317694526
2006-04-04,equal_weight,0.30046669968993645
2006-04-05,equal_weight,0.311378629645216
2006-04-06,equal_weight,0.30410274237350626
2006-04-07,equal_weight,0.29756455216536565
2006-04-10,equal_weight,0.2995189514405752
2006-04-11,equal_weight,0.2808355473172781
2006-04-12,equal_weight,0.26972191334808604
2006-04-13,equal_weight,0.28057772465806585
2006-04-14,equal_weight,0.28842677504545194
2006-04-17,equal_weight,0.296045007129199
2006-04-18,equal_weight,0.30179685916334686
2006-04-19,equal_weight,0.3075761346382965
2006-04-20,equal_weight,0.3012427080414471
2006-04-21,equal_weight,0.29413145180191214
2006-04-24,equal_weight,0.28754037812608685
2006-04-25,equal_weight,0.3035090473206728
2006-04-26,equal_weight,0.3030303946819994
2006-04-27,equal_weight,0.3255573921804752
2006-04-28,equal_weight,0.3385206897230551
2006-05-01,equal_weight,0.33528196017037165
2006-05-02,equal_weight,0.3530697923482408
2006-05-03,equal_weight,0.34223760964091715
2006-05-04,equal_weight,0.35303195251274877
2006-05-05,equal_weight,0.35251880293903654
2006-05-08,equal_weight,0.3515552444235388
2006-05-09,equal_weight,0.3632860595576968
2006-05-10,equal_weight,0.3552076892603957
2006-05-11,equal_weight,0.35690874230294356
2006-05-12,equal_weight,0.3424655863928717
2006-05-15,equal_weight,0.33102406229982967
2006-05-16,equal_weight,0.33038518740559014
2006-05-17,equal_weight,0.29417286588766034
2006-05-18,equal_weight,0.3048989002859852
2006-05-19,equal_weight,0.3015107120004566
2006-05-22,equal_weight,0.2856979840293564
2006-05-23,equal_weight,0.29206620139500294
2006-05-24,equal_weight,0.28291088620125526
2006-05-25,equal_weight,0.2847282704293367
2006-05-26,equal_weight,0.2995975783181608
2006-05-29,equal_weight,0.2971786311876347
2006-05-30,equal_weight,0.28304989295998967
2006-05-31,equal_weight,0.29247345521065315
2006-06-01,equal_weight,0.3043123056272177
2006-06-02,equal_weight,0.31168832411224634
2006-06-05,equal_weight,0.28672804006425295
2006-06-06,equal_weight,0.259064666978342
2006-06-07,equal_weight,0.27352435162382643
2006-06-08,equal_weight,0.24521376008939683
2006-06-09,equal_weight,0.25854456423624117
2006-06-12,equal_weight,0.24921882801702225
2006-06-13,equal_weight,0.22061449765373803
2006-06-14,equal_weight,0.23070602386523706
2006-06-15,equal_weight,0.25020540339474573
2006-06-16,equal_weight,0.2472185658019072
2006-06-19,equal_weight,0.2524915716854796
2006-06-20,equal_weight,0.25982048331485474
2006-06-21,equal_weight,0.2720126585286266
2006-06-22,equal_weight,0.27154199862445194
2006-06-23,equal_weight,0.267462449786872
2006-06-26,equal_weight,0.28208064388372917
2006-06-27,equal_weight,0.26037049810188156
2006-06-28,equal_weight,0.24621758825352602
2006-06-29,equal_weight,0.2657873088906259
2006-06-30,equal_weight,0.27952359992129755
2006-07-03,equal_weight,0.2821532757883894
2006-07-04,equal_weight,0.28628369005078724
