block,train_start,validation_start,active_start,active_end,linear_transformed_feature_count,linear_lambda,linear_validation_rmse,linear_validation_mae,linear_validation_bias,linear_gamma,linear_mean_daily,linear_vol_daily,linear_sharpe_annualized,linear_cumulative_return,linear_max_drawdown,linear_n_days,linear_utility,linear_optimizer_failures,linear_mve_device,linear_allocation_method,polynomial_transformed_feature_count,polynomial_lambda,polynomial_coef0,polynomial_validation_rmse,polynomial_validation_mae,polynomial_validation_bias,polynomial_gamma,polynomial_mean_daily,polynomial_vol_daily,polynomial_sharpe_annualized,polynomial_cumulative_return,polynomial_max_drawdown,polynomial_n_days,polynomial_utility,polynomial_optimizer_failures,polynomial_mve_device,polynomial_allocation_method,gaussian_transformed_feature_count,gaussian_lambda,gaussian_kernel_gamma,gaussian_components,gaussian_validation_rmse,gaussian_validation_mae,gaussian_validation_bias,gaussian_gamma,gaussian_mean_daily,gaussian_vol_daily,gaussian_sharpe_annualized,gaussian_cumulative_return,gaussian_max_drawdown,gaussian_n_days,gaussian_utility,gaussian_optimizer_failures,gaussian_mve_device,gaussian_allocation_method
33,2019-01-01,2020-07-01,2021-01-01,2021-06-30,15,10.0,0.020816750796123273,0.015124469695499555,-0.006277711369669711,0.01,0.0007927055912374046,0.013296060199882668,0.9464315710558091,0.11030764884446834,-0.1141605488556211,132,0.0005275277659790487,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.025050011229182968,0.0183923146631484,-0.007177132713997354,0.01,0.0006336136408102248,0.01314895074992029,0.7649511293023391,0.08723415680774133,-0.12836100289382757,132,0.0003742712820744807,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.019350112830581506,0.01368883452552035,0.0006278100470625585,0.001,0.0008197324519100271,0.013402415221374999,0.9709331520653963,0.11427579608596217,-0.1193623082516585,132,0.0005502953512608107,0,cpu,constrained_regularized_mve
34,2019-07-01,2021-01-01,2021-07-01,2021-12-31,15,10.0,0.017183500753960378,0.012440477887314503,0.0017552891167254198,1e-06,0.002070918895466573,0.012535781365108334,2.622478594612169,0.30623445674184274,-0.07403102299530628,129,0.001835200173815877,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.02025920645589953,0.015170925971230813,-0.0016564270355948502,0.01,0.0015090345074081648,0.012372911299310166,1.9360989163348121,0.2149044739711492,-0.0804112881372232,129,0.001279401106377269,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.016887628731883236,0.011802918222244687,-0.0005953978909916439,0.001,0.0018187134949981787,0.012246768518385829,2.3574530407519374,0.2644206598268188,-0.07655622861940348,129,0.0015937384862837894,0,cpu,constrained_regularized_mve
35,2020-01-01,2021-07-01,2022-01-03,2022-06-30,15,10.0,0.015291345612214437,0.010329611170225489,-0.0016648610911192635,0.01,0.0004320475156587279,0.01094109677098372,0.6268605268319016,0.05868785858015154,-0.11903777777265734,132,0.00025248611783068234,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.01625638529181987,0.011755376547198139,-0.00023327558759496514,0.001,0.00027401269124476647,0.01079220593387773,0.4030516698166953,0.0368317562482851,-0.11428066158154448,132,9.930512786592794e-05,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.01537033308319786,0.01030879643189554,-0.00034569091530101787,1e-06,0.0004321057008422446,0.01045960867788252,0.6558051604393071,0.05869598980442588,-0.11302209091495408,132,0.00026800058030059166,0,cpu,constrained_regularized_mve
36,2020-07-01,2022-01-03,2022-07-01,2022-12-30,15,10.0,0.02530641219433028,0.018746879787668553,-0.010205737932245197,0.001,-0.0005428875485040186,0.01767856615951906,-0.4874870835975843,-0.06763647658005525,-0.1770231297162802,129,-0.0010116851006887573,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.034951846696399065,0.025389620948905588,-0.004148757021909025,0.01,-0.0008236632737149993,0.01656390920774748,-0.7893818393865353,-0.10080248400646782,-0.19694314262724366,129,-0.0012352079060787518,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.023012987687444704,0.015310990388073143,0.0008947479492011399,1e-06,-0.001096298150501565,0.017650154164029718,-0.9860080230636283,-0.13187751403529063,-0.22998329463381517,129,-0.0015635900635225883,0,cpu,constrained_regularized_mve
37,2021-01-01,2022-07-01,2023-01-02,2023-06-30,15,10.0,0.019493393649963726,0.014111656037715645,-0.00617212112565499,1e-06,0.0015099923187999037,0.012276926437598845,1.9524744295577967,0.21872958663601527,-0.11527963403458996,131,0.0012839079346685836,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.026052786035210124,0.020131786469027614,-0.006950855624127432,1e-06,0.001115120339406101,0.013354175112845422,1.3255769413150278,0.1572896521528213,-0.13747562125650692,131,0.0008476193499892909,0,cpu,constrained_regularized_mve,96,10.0,0.2,96,0.01891985013989919,0.0135883419134696,-0.0015526357777230937,0.01,0.001309539598876869,0.01299268678217113,1.5999998316162778,0.18714312738506889,-0.12833664404103096,131,0.0010563247341474624,0,cpu,constrained_regularized_mve
38,2021-07-01,2023-01-02,2023-07-03,2023-12-29,15,0.01,0.018575951752411096,0.012110805129018685,-0.0017260133467668869,0.01,0.0006453096320442944,0.01229278394367371,0.8333322115707326,0.0875095354430528,-0.14732132961520228,130,0.0004186408264155312,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.024811468073809878,0.018051157580471273,0.008297758212524951,1e-06,0.0006864179007444967,0.013698668311433461,0.7954456679488355,0.0933368247555085,-0.16423385277372116,130,0.00040493763048448983,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.01851467063971424,0.012410579163577438,0.0002883261438959228,0.01,0.0006388916469376807,0.012605963132344687,0.8045470519470806,0.08660256325614482,-0.15120211304184306,130,0.00040052618719663044,0,cpu,constrained_regularized_mve
39,2022-01-03,2023-07-03,2024-01-01,2024-06-28,15,0.01,0.014683898850173262,0.00964843089874576,-0.0006704806606183817,1e-06,0.0009348107735665885,0.009867921465856066,1.503828443498791,0.12921804833580025,-0.12439382263864163,130,0.0007887469624821341,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.017922535100168755,0.013032432059557012,-0.00081355624955486,0.01,0.0010009937850491678,0.010074727253465884,1.5772420746677303,0.13897552040960756,-0.11268550175807157,130,0.0008487435912015754,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.01468487461090364,0.009665717769480027,-0.001140581114299964,1e-06,0.0010537536843452343,0.00982292665010823,1.7029365836900523,0.1468143625418098,-0.10801032684838063,130,0.0009090188523851245,0,cpu,constrained_regularized_mve
40,2022-07-01,2024-01-01,2024-07-01,2024-12-31,15,10.0,0.014253461743550902,0.009585089770655976,-0.0008210475050030603,1e-06,0.001239402590380086,0.008490724090907979,2.317223591292764,0.17482868474522917,-0.055529857416265926,130,0.0011312639969981984,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.015444487338312001,0.011631382263153049,0.0014497946069115277,0.01,0.001033740697213126,0.008310699743790388,1.9745779941064618,0.14383458690588144,-0.06377568578568626,130,0.0009301391018659696,0,cpu,constrained_regularized_mve,96,1.0,0.01,96,0.014193132914053736,0.009646298656637199,-2.6854492356867954e-05,1e-06,0.0012533744205127817,0.008547527059996719,2.3277729287430557,0.1769645097343729,-0.06560541758240657,130,0.0011437840922507176,0,cpu,constrained_regularized_mve
41,2023-01-02,2024-07-01,2025-01-02,2025-06-30,15,10.0,0.01690288613038637,0.010798907725627194,0.0024336492721818647,0.001,0.0007857801684203972,0.010154807100505502,1.22837128675935,0.10929311844442395,-0.0845175439063095,132,0.0006311000075476818,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.029884753786987243,0.01578030856038697,0.007558578673681855,0.01,0.001037410506183529,0.010272749984986762,1.6031132136138264,0.14675726161219163,-0.07525491749062885,132,0.0008791164178024607,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.016662169770774084,0.010412513254454296,0.0005256826585211962,0.0001,0.0009002508471530786,0.010684607390533058,1.3375352628788182,0.12618195615218622,-0.08362216565252212,132,0.0007290095945183281,0,cpu,constrained_regularized_mve
42,2023-07-03,2025-01-02,2025-07-01,2025-12-30,15,10.0,0.020019879468045558,0.01323077531021804,-0.0008048156622698521,1e-06,0.002807095083915531,0.014755245106173117,3.0200279745045995,0.4323381382703398,-0.1449551644460354,128,0.0024805191967006623,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.026160513557660758,0.016414733745358207,0.0033823048317286487,0.01,0.0024065728139784385,0.014408782657727359,2.6513800627041153,0.36075721452113013,-0.15601193483943399,128,0.0020951532874620015,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.020141283934521352,0.01318911690695023,-0.0006149643871523193,0.001,0.002340830539624289,0.014418847720202927,2.5771499592911304,0.3493544718241248,-0.1551989042504056,128,0.0020289757852566875,0,cpu,constrained_regularized_mve
