block,train_start,validation_start,active_start,active_end,linear_transformed_feature_count,linear_lambda,linear_validation_rmse,linear_validation_mae,linear_validation_bias,linear_gamma,linear_mean_daily,linear_vol_daily,linear_sharpe_annualized,linear_cumulative_return,linear_max_drawdown,linear_n_days,linear_utility,linear_optimizer_failures,linear_mve_device,linear_allocation_method,polynomial_transformed_feature_count,polynomial_lambda,polynomial_coef0,polynomial_validation_rmse,polynomial_validation_mae,polynomial_validation_bias,polynomial_gamma,polynomial_mean_daily,polynomial_vol_daily,polynomial_sharpe_annualized,polynomial_cumulative_return,polynomial_max_drawdown,polynomial_n_days,polynomial_utility,polynomial_optimizer_failures,polynomial_mve_device,polynomial_allocation_method,gaussian_transformed_feature_count,gaussian_lambda,gaussian_kernel_gamma,gaussian_components,gaussian_validation_rmse,gaussian_validation_mae,gaussian_validation_bias,gaussian_gamma,gaussian_mean_daily,gaussian_vol_daily,gaussian_sharpe_annualized,gaussian_cumulative_return,gaussian_max_drawdown,gaussian_n_days,gaussian_utility,gaussian_optimizer_failures,gaussian_mve_device,gaussian_allocation_method
11,2008-01-01,2009-07-01,2010-01-01,2010-06-30,15,10.0,0.025120753329661193,0.01827217063370551,0.006660105474826508,0.001,0.00028452558643923755,0.015410254375059197,0.2930972812121964,0.038271568706243535,-0.1709553758197374,132,-7.168832341680916e-05,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.029869750357548304,0.022583151118627583,-0.008256124628793752,0.001,0.00030668386062443655,0.015727399254138626,0.3095524745895668,0.041312846648068925,-0.16866966011064122,132,-6.434277032418378e-05,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.024164010619162984,0.016907752241206955,0.0001100530888885771,0.01,0.00024097776380950194,0.015125162720043172,0.25291651257074865,0.032320380211993065,-0.18535705811220016,132,-0.0001021780571521737,0,cpu,constrained_regularized_mve
12,2008-07-01,2010-01-01,2010-07-01,2010-12-31,15,0.01,0.025798322026654222,0.017531801720255726,0.001507666794511417,0.0001,-0.001970110831795066,0.017154067972768503,-1.8231558803797066,-0.22442012011217727,-0.29345541098385874,129,-0.0024115039038166094,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.035983846958457875,0.025096881327222726,0.005793616991873355,0.001,-0.002220727297072472,0.01744258017192597,-2.0210859058121766,-0.24909326398082612,-0.3151632029099902,129,-0.0026770927016535697,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.02621133250207805,0.017852434435749333,0.0014837615955958165,1e-06,-0.0022587735304964818,0.017070616975973982,-2.100505109377191,-0.2527696581074433,-0.3115145647538161,129,-0.0026958824764070984,0,cpu,constrained_regularized_mve
13,2009-01-01,2010-07-01,2011-01-03,2011-06-30,15,0.01,0.0221118757903217,0.016115769319698502,-0.008894615135361515,0.01,0.000522049000742147,0.013115833331072007,0.6318524153008294,0.07134028572079781,-0.14880593742020332,132,0.0002640113747894579,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.03717596089113979,0.028413764572928258,-0.018175804082987457,0.01,0.0003495936568030182,0.013343066611790716,0.4159184253831667,0.04722767480851175,-0.16673047255886275,132,8.253751689299194e-05,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.019850268501923767,0.013731147373310222,-0.00249113484409585,0.0001,0.0005872378491386001,0.013351578542680717,0.6982029747112977,0.08059886932393084,-0.14975018193659173,132,0.0003198408747665419,0,cpu,constrained_regularized_mve
14,2009-07-01,2011-01-03,2011-07-01,2011-12-30,15,0.01,0.017800369222551893,0.012251797767126857,-0.0018618969757650168,0.01,0.0010149301136113764,0.011291544344851842,1.4268655890018385,0.13988340932680585,-0.08980723818830605,129,0.000823681653073743,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.020352987320455852,0.015014064156694627,-0.0026749510850998227,1e-06,0.0013072735672881527,0.011960330290141298,1.7350962744350034,0.18369190849410888,-0.08537511504689399,129,0.0010926993163142456,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.01761008395541837,0.012176525112141342,-0.00279718272578385,1e-06,0.0012861201942815426,0.011382648420095821,1.7936533210669396,0.18046627066791546,-0.07785452827547279,129,0.0010917731666982779,0,cpu,constrained_regularized_mve
15,2010-01-01,2011-07-01,2012-01-02,2012-06-29,15,1.0,0.03475963627473439,0.02378161646178444,0.0017892102057445159,0.01,-9.035773345857292e-05,0.0275804170474182,-0.05200735536779482,-0.011767083016316245,-0.24015894879093647,131,-0.0012313768402228476,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.046544921491624515,0.0328775389707286,0.014827974312936825,0.01,0.000863759182670707,0.02843651726844201,0.4821881600524795,0.11980263712897735,-0.18762034653157267,131,-0.0003491940888668939,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.03437295873587133,0.02363068533412204,0.0020883506733110195,0.01,0.0006882518264898026,0.02622096065036137,0.4166765352099101,0.09435044820449304,-0.19926552412902954,131,-0.00034305633965189646,0,cpu,constrained_regularized_mve
16,2010-07-01,2012-01-02,2012-07-02,2012-12-31,15,10.0,0.025094607605392415,0.01731366543905943,-0.006100776216514927,0.001,0.0016682928065697067,0.016527028807927256,1.602425190220866,0.24219262596368682,-0.18488067599446223,130,0.0012585787847426205,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.026511228847363354,0.019478346756812325,-0.0008073980905899257,0.001,0.0011864304083976194,0.01564436246146828,1.2038840762873604,0.16676615638368375,-0.2719055539697095,130,0.0008193112931589226,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.024320734322646424,0.016392873388272593,-0.0016328762689838832,0.001,0.0018820541510945784,0.017424544823434335,1.7146320738511893,0.27719598676778134,-0.20324062488439287,130,0.00142663200763877,0,cpu,constrained_regularized_mve
17,2011-01-03,2012-07-02,2013-01-01,2013-06-28,15,10.0,0.01992685226920024,0.013280579261737627,-0.004253697526865915,0.01,0.001980919073432334,0.013205166306719984,2.3813494418374783,0.29628230043515913,-0.09556922191547335,131,0.0017193544476501348,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.020583350183634067,0.014427947485543628,0.002141959411218332,0.01,0.0014366614281512875,0.01269190512483025,1.7969164532994573,0.2070781014284642,-0.08839180075097952,131,0.001195034744604749,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.019322655816916872,0.012431191660168475,-0.001027919383397779,0.01,0.0018013300560375195,0.012789982556715351,2.2357519267697565,0.2661416905699705,-0.09910235986135663,131,0.001555954575335895,0,cpu,constrained_regularized_mve
18,2011-07-01,2013-01-01,2013-07-01,2013-12-31,15,10.0,0.018012090286802996,0.012536753796936936,-0.0014867459896916646,1e-06,0.0011866073398718675,0.01143987142434924,1.646592592904137,0.1654092895763495,-0.06412597502974193,129,0.000990301352563404,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.025108071452921547,0.018127076830002038,-0.005513477124894896,0.001,0.0011015362594293306,0.011451954302846698,1.5269311728807118,0.15268981114708957,-0.06315530322627483,129,0.0009048153733975971,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.017854221104014308,0.012428482283728512,-0.002122511150508064,1e-06,0.0011340088116782,0.011103927356196825,1.6212130378799716,0.1575285092615191,-0.08094761382220139,129,0.0009490630075806557,0,cpu,constrained_regularized_mve
19,2012-01-02,2013-07-01,2014-01-01,2014-06-30,15,10.0,0.015862907371564604,0.011285003236312428,-0.007099635888093695,1e-06,0.0016891072323300743,0.008558550621262562,3.1329774436550895,0.24977327475592126,-0.03795591009291788,132,0.0015792340492250035,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.01690369717553041,0.012440630427820159,-0.0009346984934145841,1e-05,0.0017612883501782388,0.008873524246308103,3.150899799649952,0.26173790742739106,-0.049725591734489205,132,0.001643179201353512,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.014290374956098206,0.009545138415024898,-0.0022260428861977243,0.001,0.0017699375455632836,0.008967854825610522,3.1330667184552916,0.2631792483904031,-0.04219917459053668,132,0.0016493039153034448,0,cpu,constrained_regularized_mve
20,2012-07-02,2014-01-01,2014-07-01,2014-12-31,15,0.01,0.013149518807649288,0.009341437733999926,0.0010387333124315284,0.0001,0.0006313811320968739,0.007954024778052092,1.26009976431266,0.08485698369364006,-0.05176819758873796,129,0.000536481366842074,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.014193225876149655,0.010609082349471976,-0.00134945118317671,0.001,0.0006654109997649533,0.007517401104483116,1.405149466329541,0.08962981464953727,-0.04787753083563917,129,0.0005806440207164273,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.013006440822737322,0.009106572932418823,0.0006821938958027285,0.0001,0.0005860660028339898,0.00792813545345918,1.1734801236463737,0.07853378725794646,-0.053377449554583345,129,0.0004917830051813952,0,cpu,constrained_regularized_mve
