"strategy","min_weight","max_weight","mean_daily","vol_daily","sharpe_annualized","cumulative_return","max_drawdown","n_days","mean_top_weight","max_single_asset_weight","mean_effective_assets","mean_zero_weight_share"
"linear","0.01","0.055","0.00072573292712513403","0.015383108171186906","0.74891581937407026","52.202932070564842","-0.56960468062771541","5476","0.05493234837511532","0.055","20.498739563660312","0"
"linear","0.01","0.056000000000000001","0.00073931369704106464","0.015375862293029707","0.76328994600366529","56.310382627665348","-0.56352956634124207","5476","0.05591622593247908","0.056000000000000001","20.262942028842055","0"
"linear","0.01","0.057000000000000002","0.00075256648427338775","0.01537588304394771","0.77697147802382438","60.624164094479461","-0.55956091326699053","5476","0.056896754858224166","0.057000000000000002","19.985586826550758","0"
"linear","0.01","0.058000000000000003","0.00076113527601873231","0.0153772830239711","0.78574660476166114","63.584650324490809","-0.55999901897821003","5476","0.057874646856932881","0.058000000000000003","19.825247213051671","0"
"linear","0.01","0.058999999999999997","0.00077018483628087412","0.015380235657411411","0.79493614496222231","66.865795770934113","-0.55986787098169344","5476","0.058848247128935743","0.058999999999999997","19.606566835600155","0"
"linear","0.01","0.059999999999999998","0.0007786912281241194","0.015386706052015042","0.8033779279694806","70.101836422847938","-0.55976799637182173","5476","0.05981903090324283","0.059999999999999998","19.33722351260181","0"
"linear","0.01","0.060999999999999999","0.00078643687034529286","0.015394929062639048","0.81093574604451302","73.182502129843044","-0.5648365996343887","5476","0.060787444973286316","0.060999999999999999","19.198492844636466","0"
"linear","0.01","0.062","0.00079391820565066469","0.015403241110735752","0.81820836993103208","76.284706822903971","-0.56917763342066086","5476","0.061753112858724452","0.062","19.014417913061607","0"
"linear","0.01","0.063","0.00080059425531480474","0.015414091546237385","0.82450787097354772","79.162365137039302","-0.57303572509334999","5476","0.062715299099698807","0.063","18.788495059715515","0"
"linear","0.01","0.064000000000000001","0.00080642291484918664","0.015422573279126457","0.83005388748807252","81.762236936764637","-0.57492419671357853","5476","0.06367336483395139","0.064000000000000001","18.594485274293632","0"
"linear","0.01","0.065000000000000002","0.00081273615889982385","0.015425981297631777","0.83636731426178734","84.673469718924508","-0.57450840974232031","5476","0.064628102193671683","0.065000000000000002","18.455201457570507","0"
"linear","0.01","0.066000000000000003","0.00081936335828264664","0.015432197139507574","0.84284758410639582","87.839711353049807","-0.57428668016889395","5476","0.065580506233737401","0.066000000000000003","18.283244502443271","0"
"linear","0.01","0.067000000000000004","0.00082579794375176225","0.015440383139466204","0.84901623461833409","91.025852221664067","-0.5745703842073977","5476","0.066529712634199212","0.067000000000000004","18.081687258092604","0"
"linear","0.01","0.068000000000000005","0.00083213067814002855","0.015448823585984036","0.85505960518448598","94.273108498941241","-0.57440851168654361","5476","0.067476277860897479","0.068000000000000005","17.896101603885544","0"
"linear","0.01","0.069000000000000006","0.00083755507311538649","0.015460435794115969","0.85998705170802414","97.145549946256722","-0.57514711450060774","5476","0.068420802191185556","0.069000000000000006","17.77820056799148","0"
"linear","0.01","0.070000000000000007","0.00084232197028213333","0.015471500223432801","0.8642630999043438","99.741225907225854","-0.57600266067947259","5476","0.069362803857300037","0.070000000000000007","17.636153481469986","0"
"linear","0.01","0.070999999999999994","0.0008466047210634193","0.015481961696630511","0.86807044014112478","102.13176603544548","-0.57678665171327892","5476","0.070302415069033369","0.070999999999999994","17.471531189098066","0"
